Node Population Gap_0 Gap_200 Gap_400 Gap_600 Gap_800 Gap_1000 Gap_1200 Gap_1400 Gap_1600 Gap_1800 Gap_2000 Gap_2200 Gap_2400 Gap_2600 Gap_2800 Gap_3000 Gap_3200 Gap_3400 Gap_3600 Gap_3800 Gap_4000 Gap_4200 Gap_4400 Gap_4600 Gap_4800 Gap_5000
-56.5306026--33.3709867 44 1 1 1 1 1 2 5 7 7 9 9 10 12 12 12 13 13 13 13 13 13 13 13 14 14 14
-56.5291477--33.3706299 109 1 1 1 1 2 3 7 7 8 9 10 11 12 12 12 13 13 13 13 13 13 13 13 14 14 14
-56.5318184--33.3713782 27 1 1 1 1 1 3 4 5 8 8 9 9 11 12 12 13 13 13 13 13 13 13 13 14 14 14
-56.5295676--33.3693615 89 1 1 1 1 2 3 5 7 8 8 10 11 11 12 12 12 13 13 13 13 13 13 13 13 14 14
-56.5300977--33.370192 101 1 1 1 1 1 2 7 7 7 9 10 11 12 12 12 13 13 13 13 13 13 13 13 13 14 14
-56.5271337--33.3694398 80 1 1 1 2 4 5 6 8 9 11 11 11 12 12 12 13 13 13 13 13 13 13 13 13 14 14
-56.5274853--33.3661745 9 1 1 1 1 2 4 6 6 8 10 10 11 11 11 11 12 12 12 13 13 13 13 13 13 13 13
-56.5265476--33.3665612 2 1 1 1 2 3 4 6 7 9 10 10 11 11 11 12 12 12 13 13 13 13 13 13 13 13 13
-56.5281065--33.368992 127 1 1 1 2 3 5 5 8 8 9 11 11 11 12 12 12 13 13 13 13 13 13 13 13 14 14
-56.5299422--33.3681453 117 1 1 1 1 2 3 5 7 8 8 10 11 11 11 12 12 12 13 13 13 13 13 13 13 13 14
-56.5299422--33.3681453 30 1 1 1 1 2 3 5 7 8 8 10 11 11 11 12 12 12 13 13 13 13 13 13 13 13 14
-56.5266211--33.3686227 100 1 1 1 3 5 5 7 8 9 11 11 11 11 12 12 12 13 13 13 13 13 13 13 13 14 14
-56.5275755--33.3681883 157 1 1 1 2 4 5 5 7 9 10 11 11 11 12 12 12 13 13 13 13 13 13 13 13 13 14
-56.5255954--33.3670125 28 1 1 1 2 4 6 6 8 10 10 11 11 11 11 12 12 12 13 13 13 13 13 13 13 13 13
-56.526106--33.3678185 56 1 1 1 2 4 5 6 8 10 10 11 11 11 12 12 12 13 13 13 13 13 13 13 13 13 14
-56.5274853--33.3661745 29 1 1 1 1 2 4 6 6 8 10 10 11 11 11 11 12 12 12 13 13 13 13 13 13 13 13
-56.5270641--33.3673721 22 1 1 1 1 4 5 6 7 9 10 11 11 11 11 12 12 12 13 13 13 13 13 13 13 13 14
-56.5287489--33.3665751 1 1 1 1 1 2 4 5 6 7 9 10 11 11 11 11 12 12 12 13 13 13 13 13 13 13 13
-56.5287489--33.3665751 23 1 1 1 1 2 4 5 6 7 9 10 11 11 11 11 12 12 12 13 13 13 13 13 13 13 13
-56.5253924--33.3744556 44 1 1 1 3 5 6 7 8 10 12 12 12 13 13 13 13 13 13 13 13 14 14 14 14 14 14
-56.5268715--33.374797 40 1 1 1 2 3 7 7 7 8 11 12 12 13 13 13 13 13 13 13 13 14 14 14 14 14 14
-56.5274038--33.3756404 37 1 1 1 1 4 6 7 7 9 10 11 13 13 13 13 13 13 13 13 13 14 14 14 14 14 14
-56.5263618--33.3739833 56 1 1 1 3 4 6 7 8 9 11 12 12 13 13 13 13 13 13 13 13 13 14 14 14 14 14
-56.5268715--33.374797 68 1 1 1 2 3 7 7 7 8 11 12 12 13 13 13 13 13 13 13 13 14 14 14 14 14 14
-56.5274038--33.3756404 0 1 1 1 1 4 6 7 7 9 10 11 13 13 13 13 13 13 13 13 13 14 14 14 14 14 14
-56.5278044--33.3736875 97 1 1 1 2 3 6 7 7 9 9 11 12 12 13 13 13 13 13 13 13 13 14 14 14 14 14
-56.5278232--33.3743622 80 1 1 1 2 4 5 7 7 9 10 11 12 13 13 13 13 13 13 13 13 14 14 14 14 14 14
-56.5293191--33.3747659 62 1 1 1 3 3 4 6 7 8 10 10 11 13 13 13 13 13 13 13 13 14 14 14 14 14 14
-56.5292113--33.3726796 88 1 1 1 1 2 4 6 8 8 9 11 12 12 13 13 13 13 13 13 13 13 13 14 14 14 14
-56.529738--33.3734831 72 1 1 1 1 3 4 5 8 8 9 10 11 12 13 13 13 13 13 13 13 13 14 14 14 14 14
-56.5302834--33.3743272 58 1 1 1 2 3 3 5 7 8 9 10 11 13 13 13 13 13 13 13 13 13 14 14 14 14 14
-56.5304362--33.3726609 90 1 1 1 1 2 4 5 8 8 9 10 11 12 12 13 13 13 13 13 13 13 13 14 14 14 14
-56.5306857--33.3730543 88 1 1 1 1 2 3 4 8 8 8 10 11 12 13 13 13 13 13 13 13 13 13 14 14 14 14
-56.5317013--33.3746686 58 1 1 1 1 3 3 4 5 8 9 9 10 12 13 13 13 13 13 13 13 13 14 14 14 14 14
-56.5312247--33.3738966 30 1 1 1 1 3 3 4 6 8 8 10 10 11 13 13 13 13 13 13 13 13 14 14 14 14 14
-56.5313964--33.3722262 21 1 1 1 1 1 3 4 6 8 8 9 10 12 12 13 13 13 13 13 13 13 13 13 14 14 14
-56.5319757--33.3731049 0 1 1 1 1 2 3 4 6 8 8 10 10 11 13 13 13 13 13 13 13 13 13 14 14 14 14
-56.5319757--33.3731049 72 1 1 1 1 2 3 4 6 8 8 10 10 11 13 13 13 13 13 13 13 13 13 14 14 14 14
-56.5301711--33.3722391 34 1 1 1 1 1 4 5 7 8 9 9 11 12 12 13 13 13 13 13 13 13 13 14 14 14 14
-56.5313964--33.3722262 37 1 1 1 1 1 3 4 6 8 8 9 10 12 12 13 13 13 13 13 13 13 13 13 14 14 14
-56.5310821--33.3781113 11 1 1 1 1 2 4 4 6 8 8 9 11 11 12 13 13 13 13 14 14 14 14 14 14 14 14
-56.5298402--33.3800341 69 1 1 1 1 2 4 4 6 8 9 9 10 12 13 13 13 13 14 14 14 14 14 14 14 14 14
