Node Population Gap_0 Gap_200 Gap_400 Gap_600 Gap_800 Gap_1000 Gap_1200 Gap_1400 Gap_1600 Gap_1800 Gap_2000 Gap_2200 Gap_2400 Gap_2600 Gap_2800 Gap_3000 Gap_3200 Gap_3400 Gap_3600 Gap_3800 Gap_4000 Gap_4200 Gap_4400 Gap_4600 Gap_4800 Gap_5000
-55.5565439--30.8846554 133 1 1 1 1 1 1 1 1 1 2 3 3 5 7 8 8 8 10 10 12 12 12 12 12 12 13
-55.5542711--30.8849142 68 1 1 1 1 1 1 1 1 1 1 3 3 5 7 8 8 8 10 10 12 12 12 12 12 12 13
-55.5559923--30.8838646 80 1 1 1 1 1 1 1 1 1 1 3 3 5 7 8 8 8 10 10 11 12 12 12 12 12 13
-55.5571669--30.8864551 10 1 1 1 1 1 1 1 1 1 1 3 3 5 7 8 8 9 10 12 12 12 12 12 12 12 13
-55.5552917--30.8863822 70 1 1 1 1 1 1 1 1 2 3 3 6 7 8 8 8 10 11 12 12 12 12 12 12 13 13
-55.5538175--30.8850082 47 1 1 1 1 1 1 1 1 2 3 3 6 7 8 8 8 10 10 12 12 12 12 12 12 13 13
-55.5552917--30.8863822 73 1 1 1 1 1 1 1 1 2 3 3 6 7 8 8 8 10 11 12 12 12 12 12 12 13 13
-55.5538246--30.8860905 78 1 1 1 1 1 1 1 1 3 3 5 7 8 8 8 10 10 11 12 12 12 12 12 13 13 13
-55.5521809--30.8847968 77 1 1 1 1 1 1 1 1 2 3 4 7 7 8 8 10 10 11 12 12 12 12 12 13 13 13
-55.5532553--30.8852945 99 1 1 1 1 1 1 1 1 2 3 4 7 7 8 8 10 10 11 12 12 12 12 12 13 13 13
-55.554379--30.8868658 94 1 1 1 1 1 1 1 1 3 3 5 7 8 8 8 10 10 12 12 12 12 12 12 13 13 13
-55.5538246--30.8860905 89 1 1 1 1 1 1 1 1 3 3 5 7 8 8 8 10 10 11 12 12 12 12 12 13 13 13
-55.5516587--30.8883072 88 1 1 1 1 1 1 2 3 3 6 7 8 8 8 10 11 12 12 12 12 12 12 13 13 13 13
-55.5525824--30.8878178 73 1 1 1 1 1 1 1 3 3 5 7 8 8 8 10 10 12 12 12 12 12 12 13 13 13 13
-55.5515783--30.8872761 18 1 1 1 1 1 1 1 3 3 5 7 8 8 8 10 10 12 12 12 12 12 12 13 13 13 13
-55.5520173--30.8870444 40 1 1 1 1 1 1 1 3 3 5 7 8 8 8 10 10 11 12 12 12 12 12 13 13 13 13
-55.5510069--30.8864917 47 1 1 1 1 1 1 1 3 3 5 7 8 8 8 10 10 12 12 12 12 12 12 13 13 13 13
-55.5517828--30.884999 66 1 1 1 1 1 1 1 1 3 3 5 7 8 8 8 10 10 11 12 12 12 12 12 13 13 13
-55.5514543--30.8862497 70 1 1 1 1 1 1 1 2 3 4 7 7 8 8 10 10 11 12 12 12 12 12 13 13 13 13
-55.5505459--30.8867411 38 1 1 1 1 1 1 1 3 3 5 7 8 8 8 10 10 12 12 12 12 12 12 13 13 13 13
-55.5510069--30.8864917 30 1 1 1 1 1 1 1 3 3 5 7 8 8 8 10 10 12 12 12 12 12 12 13 13 13 13
-55.5533207--30.8906462 70 1 1 1 1 1 1 1 2 5 6 8 8 10 10 12 12 12 12 12 12 12 13 13 13 13 13
-55.5522204--30.8890804 78 1 1 1 1 1 1 2 3 3 7 8 8 8 10 10 12 12 12 12 12 12 13 13 13 13 13
-55.5527648--30.8898735 83 1 1 1 1 1 1 1 2 4 6 8 8 8 10 11 12 12 12 12 12 12 13 13 13 13 13
-55.5542554--30.89017 62 1 1 1 1 1 1 1 1 3 5 7 8 8 10 11 12 12 12 12 12 12 13 13 13 13 13
-55.5536714--30.8893916 54 1 1 1 1 1 1 1 2 3 5 8 8 8 10 10 12 12 12 12 12 12 12 13 13 13 13
-55.5531239--30.8885979 76 1 1 1 1 1 1 1 2 3 4 7 8 8 8 10 11 12 12 12 12 12 12 13 13 13 13
-55.5551623--30.8896913 86 1 1 1 1 1 1 1 1 2 5 6 8 8 10 10 12 12 12 12 12 12 12 13 13 13 13
-55.5546039--30.8889027 64 1 1 1 1 1 1 1 1 2 4 6 8 8 8 10 11 12 12 12 12 12 12 13 13 13 13
-55.5549323--30.8876395 83 1 1 1 1 1 1 1 1 2 3 4 7 8 8 8 10 11 12 12 12 12 12 12 13 13 13
-55.556973--30.8887207 55 1 1 1 1 1 1 1 1 1 2 5 6 8 8 10 10 12 12 12 12 12 12 12 13 13 13
-55.5564051--30.8879424 94 1 1 1 1 1 1 1 1 1 2 4 6 8 8 8 10 11 12 12 12 12 12 12 13 13 13
-55.5558523--30.887143 91 1 1 1 1 1 1 1 1 2 3 3 7 8 8 8 10 10 12 12 12 12 12 12 13 13 13
-55.5558523--30.887143 113 1 1 1 1 1 1 1 1 2 3 3 7 8 8 8 10 10 12 12 12 12 12 12 13 13 13
-55.5578007--30.8861475 0 1 1 1 1 1 1 1 1 1 1 3 3 7 8 8 8 10 10 12 12 12 12 12 12 13 13
-55.5586431--30.8910644 80 1 1 1 1 1 1 1 1 2 2 4 6 7 9 11 12 12 12 12 12 12 13 13 13 13 13
